stressor_class,example_wq_variables,primary_axis,secondary_axis,axis_split,tissue_retention_rho,ambient_condition,pmoa_basis,confidence,pmoa_fitted,field_confound_route,references,mechanism_notes
microplastics_particles,microplastic conc; suspended plastics,assimilation,maintenance,0.7/0.3,0.90,no,DEBtox-assimilation,medium,no DEBtox fit (aggregate stressor),,Tier3-ecophysiology (Ruditapes2021; MytilusMP2020; MedMussels2024),gut blockage / false satiation reduces feeding & absorption efficiency; secondary inflammation & oxidative maintenance cost
suspended_sediment_turbidity,TSS; turbidity,assimilation,,1.0,0.10,yes,DEBtox-assimilation,medium,no DEBtox fit,,Tier3-ecophysiology (gill clogging),gill clogging & reduced filtration/feeding in suspension feeders; ambient (no tissue reservoir)
organic_pollution_hypoxia,BOD; COD; dissolved-O2 deficit,maintenance,growth,0.8/0.2,0.0,yes,DEBtox-maintenance,medium,no DEBtox fit,,Tier3-aerobic-scope (pending),hypoxic respiratory/oxidative stress raises somatic maintenance; reduced aerobic scope; ambient condition
salinity_ionic_osmotic,TDS; salinity; conductivity,maintenance,assimilation,0.8/0.2,0.0,yes,DEBtox-maintenance,high,no DEBtox fit,,Tier3-osmoregulation (pending),osmoregulation is a maintenance cost in DEB; secondary feeding/digestion effects; ambient
acidification_low_pH,pH; pCO2,maintenance,growth,0.6/0.4,0.0,yes,DEBtox-maintenance+growth,medium,maintenance (pH fit -> M; confirms primary),,c7em00328e,acid-base regulation cost (maintenance) + calcification cost for shell/skeleton (growth) in calcifiers; ambient
ammonia_nitrite,un-ionized NH3; NO2,maintenance,,1.0,0.0,yes,DEBtox-maintenance,medium,no DEBtox fit,,Tier3-ammonia (pending),impaired nitrogen excretion & detox cost; ambient / rapidly excreted
nutrients_eutrophication,TN; TP; chlorophyll-a,maintenance,assimilation,0.6/0.4,0.0,yes,indirect,low,no DEBtox fit (indirect),,model via hypoxia consequence,INDIRECT: acts via secondary hypoxia (maintenance) & food-quality shifts (assimilation); not a direct toxicant — flag separately
pathogens_microbial,fecal coliform; pathogen index,maintenance,reproduction,0.7/0.3,0.20,no,DEBtox-maintenance+hazard,low,no DEBtox fit,,Tier3-eco-immunology (pending),immune activation cost (maintenance) & reallocation from reproduction; acute route is hazard/survival
heavy_metals,Cd Cu Zn Pb Hg As Ni Cr,maintenance,,1.0,0.80,no,DEBtox-maintenance,medium,assimilation (fitted: Cd/Cu/Hg/U all A-dominant),maintenance = field tissue-burden CONFOUND-CONTROL (validated in SFG/SoS; metals->assim degrades ALL field anchors - digest 4-RESULT). Use the fitted assimilation route ONLY for exposure-derived burden,c7em00328e; pmoa_evidence_digest sec4-RESULT,FIELD route maintenance (tissue burden != exposure; metals are a positive field confound). CONTROLLED/exposure route assimilation (gut/gill damage reduces uptake) per fitted DEBtox pMoA. See dual-route note.
hydrocarbons_PAH,PAH; oil; TPH,assimilation,maintenance,0.7/0.3,0.40,no,DEBtox-assimilation,medium,mixed: A (benzo(k); PAH-mix) / G+R (fluoranthene; nonylphenol) / R (pyrene),,c7em00328e,narcosis / membrane disruption & feeding suppression; consistent with existing hydrocarbons->assimilation routing (but fitted PAHs are mixed)
endocrine_organochlorine_organotin,PCB; DDT; TBT; EE2,reproduction,,1.0,0.90,no,DEBtox-reproduction,medium,mixed: TBT->A; triphenyltin->M; nonylphenol->G+R (NOT cleanly reproduction),,c7em00328e,endocrine disruption / imposex / fecundity loss; CAUTION: fitted organotins are NOT cleanly reproduction
dibutyltin_growth,DBT,growth,,1.0,0.85,no,DEBtox-growth,low,not in compilation,,mechanism only,documented growth-cost mode of action; consistent with existing DBT->growth routing
AChE_pesticides,chlorpyrifos; malathion; carbaryl; carbofuran,maintenance,,1.0,0.30,no,DEBtox-maintenance+hazard,medium,mixed: aldicarb->M; atrazine->M; chlorpyrifos->R (n=1),,c7em00328e,neuromuscular dysfunction raises activity/maintenance cost; acute route is hazard/survival (GUTS); ECOTOX-tested class (synthesis 7b)
pharmaceuticals_generic,various APIs,maintenance,,1.0,0.40,no,compound-specific,low,compound-specific,,reassign per API,DEFAULT ONLY — reassign per known MoA (synthetic hormones->reproduction; antibiotics->assimilation via microbiome)
thermal_temperature,water temperature,NONE,,NA,NA,na,rate-modifier,high,n/a (rate modifier),,jager2020 (Arrhenius),NOT an axis pressure: Arrhenius rate modifier on k_M / lambda and all DEB rates; apply via temperature correction; never as a burden
